Jugador,J0,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,COM,DIV,FC,SB,COLOR
Rodrigo,0,11,10,5,8,,,,,,,,,,,,,,,,,,,lime
Angel,0,12,9,9,9,,,,,,,,,,,,,,,,,,,darkviolet
Liz,0,10,9,8,10,,,,,,,,,,,,,,,,,,,hotpink
Lety,0,7,8,7,8,,,,,,,,,,,,,,,,,,,maroon
Juvs,0,10,6,8,10,,,,,,,,,,,,,,,,,,,slategray
Fer,0,10,8,8,8,,,,,,,,,,,,,,,,,,,darkgoldenrod
Pao,0,11,8,8,7,,,,,,,,,,,,,,,,,,,cornflowerblue
Gabrielito,0,11,10,8,10,,,,,,,,,,,,,,,,,,,yellow
Juan-Angel,0,13,9,6,7,,,,,,,,,,,,,,,,,,,blue
Gaby,0,10,9,9,9,,,,,,,,,,,,,,,,,,,darkseagreen
Mickey,0,7,12,8,5,,,,,,,,,,,,,,,,,,,teal
Nmax,0,16,16,16,16,14,14,15,16,15,14,14,13,16,13,16,16,16,16,18,20,20,18,348
